,date,location,new_cases,new_deaths,total_cases,total_deaths
318,2020-03-13,Aruba,2,0,2,0
319,2020-03-20,Aruba,2,0,4,0
320,2020-03-24,Aruba,8,0,12,0
321,2020-03-25,Aruba,5,0,17,0
322,2020-03-26,Aruba,2,0,19,0
323,2020-03-27,Aruba,9,0,28,0
324,2020-03-28,Aruba,0,0,28,0
